variable,measure,case_def,group,seasonality,month,value,lower,upper
All clinical,cases,primary,smc,seasonal,37.3979,-0.0239
All clinical,cases,primary,smc,seasonal,38.604,13.6153
All clinical,cases,primary,smc,seasonal,39.6639,26.9933
All clinical,cases,primary,smc,seasonal,40.4533,36.9125
All clinical,cases,primary,smc,seasonal,41.4695,45.5271
All clinical,cases,primary,smc,seasonal,42.4718,32.7387
All clinical,cases,primary,smc,seasonal,43.4993,131.7936
All clinical,cases,primary,smc,seasonal,44.512,34.046
All clinical,cases,primary,smc,seasonal,45.5221,9.773
All clinical,cases,primary,smc,seasonal,46.7727,4.9457
All clinical,cases,primary,smc,seasonal,47.7893,2.7282
All clinical,cases,primary,smc,seasonal,48.7766,1.4243
All clinical,cases,primary,smc,seasonal,49.5664,1.2946
All clinical,cases,primary,smc,seasonal,50.6479,22.6987
All clinical,cases,primary,smc,seasonal,51.6334,70.1387
All clinical,cases,primary,smc,seasonal,52.6364,37.709
All clinical,cases,primary,smc,seasonal,53.6167,28.0528
All clinical,cases,primary,smc,seasonal,54.705,61.4634
All clinical,cases,primary,smc,seasonal,55.7071,57.8756
All clinical,cases,primary,smc,seasonal,56.2048,46.1307
All clinical,cases,primary,smc,seasonal,57.0977,25.1202
All clinical,cases,primary,smc,seasonal,57.7271,11.0916
All clinical,cases,primary,smc,seasonal,58.7438,6.0682
All clinical,cases,primary,smc,seasonal,59.7383,6.9828
All clinical,cases,primary,rtss_smc,seasonal,0.8629,0.1315
All clinical,cases,primary,rtss_smc,seasonal,2.0621,4.6352
All clinical,cases,primary,rtss_smc,seasonal,3.2757,13.5762
All clinical,cases,primary,rtss_smc,seasonal,4.1095,7.378
All clinical,cases,primary,rtss_smc,seasonal,5.3018,0.9194
All clinical,cases,primary,rtss_smc,seasonal,6.3254,4.3789
All clinical,cases,primary,rtss_smc,seasonal,7.3054,0.6606
All clinical,cases,primary,rtss_smc,seasonal,8.2852,6.9912
All clinical,cases,primary,rtss_smc,seasonal,9.2726,3.2076
