ID,0 y,1-3 y,4-6 y,7-9 y,10-14 y,15-25 y,total
19/16,6.0,12.0,9.657846715328468,7.326642335766423,2.998357064622125,0.2143906020558003,110
14/17,,8.513119533527696,9.016468435498627,8.666666666666666,5.593869731800766,0.2342747111681643,107
14/34,5.055401662049862,8.88510223953262,10.101476014760147,8.991788321167883,1.8,0.28504490433424445,98
15/04,0.0,7.904896421845574,9.889162561576354,8.079884504331087,4.030922142462728,0.388607931860527,92
14/31,0.0,5.546058879392213,10.604498594189316,10.766961651917404,2.550960978450786,0.0,89
14/32,2.0,9.657846715328468,11.656021897810218,3.9963503649635035,0.7270916334661355,0.5169971671388102,83
08/13,5.48048048048048,7.421441774491682,10.027472527472527,5.328467153284672,2.1895620875824835,0.0,83
11/23,6.0497237569060776,11.0,7.6596715328467155,0.9990875912408759,1.3992332968236583,0.5558375634517766,75
16/38,6.186440677966102,10.78646329837941,7.904896421845574,4.825306893295562,0.7995618838992333,0.0,78
11/20,5.0,11.656021897810218,8.356227106227106,1.9981751824817517,0.8066298342541437,0.2576773738086834,77
11/27,3.0,12.988138686131387,6.327554744525547,3.6633211678832116,0.41809851088201605,0.0,74
15/19,2.0,7.751615881809788,7.680695333943276,4.329379562043796,1.3992332968236583,0.0,68
18/16,5.013736263736264,6.678865507776761,8.410138248847927,5.328467153284672,0.7995618838992333,0.0,70
14/20,5.0,3.3578656853725852,6.993613138686132,7.071033210332104,1.6358543417366946,0.22503082614056721,67
18/21,5.055401662049862,7.326642335766423,7.957345971563981,3.010999083409716,1.394904458598726,0.17718446601941748,66
19/17,4.0,5.729455216989843,7.0128087831656,4.620253164556962,1.988498789346247,0.0,64
01/12,3.1285714285714286,10.676416819012797,7.0,2.664233576642336,0.39978094194961666,0.0,66
19/25,4.040590405904059,8.014638609332113,8.325729927007298,3.0,1.5598290598290598,0.3466286799620133,69
18/26,1.0167130919220055,9.333333333333334,10.03666361136572,1.6666666666666667,0.6322170900692841,0.0,67
18/15,7.978142076502732,10.03666361136572,6.993613138686132,1.9981751824817517,0.2002194185408667,0.0,66
14/36,3.0165289256198347,5.367647058823529,9.657846715328468,3.6633211678832116,1.4,0.0,66
17/17,3.9107142857142856,6.3399503722084365,6.374080882352941,4.662408759124087,3.2981927710843375,0.0,62
17/16,,4.082774049217003,9.657846715328468,4.014665444546288,2.5172413793103448,0.0,61
03/18,7.0,8.698441796516956,7.6596715328467155,1.3333333333333333,0.19978106185002736,0.26118067978533094,63
