inf_rate,clinical_rate,density,percentage
0.010264797802867896,0.006737946999085467,8.490081614959765e-10,8.490081614959765e-08
0.010342933783390497,0.006792121156648214,8.906533148086956e-10,1.739661476304672e-07
0.010421697989531483,0.006846730882990002,9.342680546056272e-10,2.673929530910299e-07
0.010501095472324012,0.006901779680152581,9.799418375463296e-10,3.6538713684566293e-07
0.010581131323412315,0.006957271078334654,1.0277680025416798e-09,4.6816393709983095e-07
0.010661810675378277,0.007013208636118293,1.0778439306779955e-09,5.759483301676304e-07
0.01074313870207054,0.00706959594069713,1.130271211337842e-09,6.889754513014148e-07
0.010825120618936307,0.007126436608106397,1.1851558147408048e-09,8.074910327754951e-07
0.010907761683355808,0.007183734283454826,1.242608271134029e-09,9.317518598888981e-07
0.010991067194979416,0.007241492641158384,1.302743856870478e-09,1.062026245575946e-06
0.011075042496067554,0.007299715385175936,1.3656827876204437e-09,1.1985945243379902e-06
0.011159692971833252,0.007358406249246758,1.4315504189692443e-09,1.3417495662349147e-06
0.011245024050787504,0.007417568997129979,1.5004774546630915e-09,1.4917973117012238e-06
0.011331041205087398,0.00747720742284595,1.5726001627727282e-09,1.6490573279784966e-06
0.01141774995088701,0.007537325350919528,1.6480606000533982e-09,1.8138633879838364e-06
0.011505155848691176,0.00759792663662537,1.7270068447886995e-09,1.9865640724627064e-06
0.011593264503712073,0.007659015166235146,1.8095932384144798e-09,2.1675233963041545e-06
0.011682047829316464,0.007720594857266763,1.895980636228961e-09,2.3571214599270503e-06
0.01177084144618885,0.007782669658735596,1.9863366675041796e-09,2.555755126677468e-06
0.01186034897775834,0.007845243551407708,2.0808360053242365e-09,2.763838727209892e-06
0.011950576164011807,0.007908320548055169,2.1796606464859206e-09,2.981804791858484e-06
0.012041528791086524,0.007971904693713365,2.2830002018070287e-09,3.2101048120391868e-06
0.012133212691641214,0.008036000065940402,2.391052197199571e-09,3.4492100317591436e-06
0.012225633745230106,0.008100610775078607,2.5040223858746756e-09,3.6996122703466113e-06
0.01231879787867995,0.008165740964518083,2.6221250720584874e-09,3.96182477755246e-06
0.012412711066470142,0.00823139481096247,2.745583446608727e-09,4.236383122213333e-06
0.01250737933111583,0.008297576524696756,2.874629934934665e-09,4.523846115706799e-06
0.012602808743554132,0.00836429034985728,3.0095065576340937e-09,4.824796771470209e-06
0.012699005423533472,0.008431540564703922,3.150465304274519e-09,5.1398433018976615e-06
0.012795975540005985,0.00849933148189442,3.2977685207576295e-09,5.4696201539734245e-06
0.012893725311523179,0.008567667448760983,3.451689310720045e-09,5.814789085045429e-06
0.012992261006634701,0.008636552847589053,3.6125119514357405e-09,6.176040280189003e-06
0.013091588944290316,0.008705992095898335,3.7805323247005965e-09,6.554093512659063e-06
0.013191715494245158,0.008775989646726101,3.956058363192161e-09,6.949699348978279e-06
0.013292647077468167,0.008846549988912721,4.1394105128134645e-09,7.363640400259626e-06
0.01339439016655391,0.008917677647389571,4.330922211543773e-09,7.796732621414002e-06
0.013496951286137641,0.008989377183469188,4.5309403853342674e-09,8.24982665994743e-06
0.013600337013313698,0.009061653195137775,4.739825961602706e-09,8.7238092561077e-06
0.013704001924958088,0.009134510317350082,4.957954400896458e-09,9.219604696197347e-06
0.013808191429373251,0.009207953222326601,5.185716247309858e-09,9.738176320928331e-06
0.013913218633851854,0.009281986619853242,5.423517698258442e-09,1.0280528090754175e-05
