,,2019,2019,2019,2015,2015,2015,2010,2010,2010,2005,2005,2005,2000,2000,2000
Indicator,Age Group,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
nqx - probability of dying between ages x and x+n,15-19  years,0.005544036,0.006414187,0.004660711,0.00656455,0.007479267,0.005638821,0.008091535,0.008864964,0.007308996,0.008460177,0.009223828,0.007690147,0.008301402,0.009060432,0.007534634
nqx - probability of dying between ages x and x+n,20-24 years,0.007667301,0.008835335,0.006490117,0.008948139,0.009802252,0.008087504,0.011255159,0.011227038,0.011283376,0.013928178,0.012978001,0.014881963,0.017709209,0.015536156,0.01989429
nqx - probability of dying between ages x and x+n,25-29 years,0.00998949,0.01128656,0.008688087,0.012500139,0.013170109,0.011830639,0.018754546,0.016528265,0.020982842,0.028170826,0.021933066,0.034407178,0.037042572,0.027794914,0.046250808
nqx - probability of dying between ages x and x+n,30-34 years,0.013399417,0.015012329,0.011792134,0.017478564,0.01857977,0.016378374,0.028948229,0.025672323,0.032240359,0.046045734,0.036896711,0.055178262,0.054575551,0.045372792,0.063706297
nqx - probability of dying between ages x and x+n,35-39 years,0.018150451,0.020602791,0.015704458,0.023993865,0.026686834,0.021292562,0.040800581,0.038939424,0.04267653,0.061921361,0.057271582,0.066561407,0.069041726,0.068530556,0.069546779
nqx - probability of dying between ages x and x+n,40-44 years,0.025087952,0.029219404,0.020954235,0.031835703,0.036887966,0.026765564,0.05016573,0.052303032,0.048021197,0.072935753,0.076202342,0.06971595,0.077070489,0.085827095,0.068489578
nqx - probability of dying between ages x and x+n,45-49 years,0.033528182,0.039171897,0.027905737,0.040703479,0.0476965,0.033765868,0.059753929,0.065143512,0.05447738,0.081264186,0.089825025,0.073019511,0.085656237,0.095912033,0.075834143
nqx - probability of dying between ages x and x+n,50-54 years,0.046885384,0.054903661,0.03905008,0.052809908,0.06242506,0.043576945,0.068119563,0.077352788,0.059380687,0.087240182,0.097948155,0.07725785,0.095654832,0.106721315,0.085651883
nqx - probability of dying between ages x and x+n,55-59 years,0.063783667,0.074857362,0.053397182,0.068873986,0.081321316,0.057427206,0.080758756,0.093843098,0.068872071,0.097350834,0.112759923,0.083892975,0.1078644,0.125583406,0.092356378
nqx - probability of dying between ages x and x+n,60-64 years,0.094851653,0.110844909,0.08057726,0.099925031,0.11710135,0.084918348,0.110068106,0.129526488,0.093703526,0.125131948,0.149082115,0.105137002,0.137707496,0.165790713,0.113856949
nqx - probability of dying between ages x and x+n,65-69 years,0.13581252,0.156939923,0.11818575,0.141602739,0.164130867,0.123681614,0.152075157,0.17862451,0.131161586,0.166732393,0.200551871,0.13989986,0.181052852,0.220389031,0.148947979
nqx - probability of dying between ages x and x+n,70-74 years,0.205408303,0.230856023,0.186342061,0.213796093,0.240153412,0.194572937,0.225765445,0.25773449,0.202504435,0.241279398,0.28307522,0.210371406,0.259582266,0.307923433,0.22218501
nqx - probability of dying between ages x and x+n,75-79 years,0.296418058,0.3256344,0.276662397,0.305369352,0.336164757,0.285193753,0.318606378,0.357181453,0.293421107,0.333744373,0.384286551,0.2997515,0.354231982,0.410835396,0.31353864
nqx - probability of dying between ages x and x+n,80-84 years,0.424929834,0.456156245,0.406325675,0.433214973,0.468325198,0.413265474,0.44304805,0.488359297,0.417373013,0.453752321,0.511913194,0.419257105,0.473545133,0.536304553,0.43243819
nqx - probability of dying between ages x and x+n,85+ years,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lx - number of people left alive at age x,<1 year,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
lx - number of people left alive at age x,1-4 years,96375.04344,96061.27532,96697.45173,95802.65941,95468.37473,96146.56067,95195.37058,94849.22566,95552.56765,94140.87195,93760.90222,94532.4105,91710.21943,91257.18812,92175.56028
lx - number of people left alive at age x,5-9 years,94933.44327,94561.0161,95316.34013,94090.63517,93693.99889,94498.97823,92700.04633,92294.45198,93118.63318,90588.05515,90139.00584,91050.7593,86652.21489,86096.45197,87223.86766
lx - number of people left alive at age x,10-14 years,94177.86685,93775.05233,94592.14071,93262.72844,92836.31718,93701.82169,91827.97034,91401.92205,92267.57311,89586.80021,89118.75113,90068.99516,85444.54997,84865.19397,86040.58055
lx - number of people left alive at age x,15-19  years,93852.44367,93415.91201,94301.47486,92923.62172,92464.4377,93396.37288,91473.47415,91012.2373,91949.06742,89183.80614,88668.27858,89714.67119,84965.75272,84318.28634,85631.68248
lx - number of people left alive at age x,20-24 years,93332.12234,92816.72484,93861.96294,92313.61992,91772.87145,92869.72749,90733.31336,90205.41711,91277.01204,88429.29539,87850.41765,89024.75218,84260.41781,83554.32626,84986.4791
